100a,245a,245b,500a,505a,650a
"Aamidor, Abraham.","Chuck Taylor, Converse all star :",the true story of the man behind the most famous athletic shoe in history /,N/A,"Hall of fame -- Non-skids -- Salesman -- The invisible pass -- Special service -- Air-tecs -- World tourney -- ""Me"" -- Glory.",Basketball players;Basketball players.
"Aamidor, Abraham.","Chuck Taylor, Converse all star :",the true story of the man behind the most famous athletic shoe in history /,N/A,"Hall of fame -- Non-skids -- Salesman -- The invisible pass -- Special service -- Air-tecs -- World tourney -- ""Me"" -- Glory.",Basketball players;BIOGRAPHY & AUTOBIOGRAPHY;SPORTS & RECREATION;SPORTS & RECREATION;Basketball players.
"Aardahl, Anya.","The influence of height on body image, self-confidence, and performance of female basketball players /",N/A ,N/A,N/A,Women basketball players;Stature;Self-perception in women.;Self-confidence.;Body image in women.;Competition (Psychology);Body image in women.;Competition (Psychology);Self-confidence.;Self-perception in women.;Stature;Women basketball players
"Abdul-Jabbar, Kareem,",A season on the reservation :,my soujourn with the White Mountain Apache /,N/A,N/A,Basketball;White Mountain Apache Indians;Basketball;Basketball;White Mountain Apache Indians.
"Abdul-Jabbar, Kareem,",On the shoulders of giants :,my journey through the Harlem Renaissance /,N/A,"Our future or our fate -- ""Some technicolor bazaar"": how Harlem became the center of the universe -- ""Mad medley"": how Harlem influenced my life -- ""Master intellects and creative giants"": the ""talented tenth"" paint the world black -- ""The gifts that my ancestors gave"": how Harlem writers influenced my life -- ""Fairness creeps out of the soul"": basketball comes to Harlem -- ""Hoping against hope"": how the Rens basketball team influenced my life -- ""Musical fireworks"": jazz lights up the heavens of Harlem -- ""Everything was mostly fun"": how jazz influenced my life.",Harlem Renaissance.;Harlem Renaissance;Harlem Renaissance.;Harlem Renaissance.;Harlem Renaissance;African Americans;Basketball players.
"Abdul-Jabbar, Kareem,",Becoming Kareem :,growing up on and off the court /,N/A,N/A,African American women basketball players;Basketball players;African Americans;Social reformers;African American political activists;Basketball players;Social reformers;JUVENILE NONFICTION;JUVENILE NONFICTION;JUVENILE NONFICTION;JUVENILE NONFICTION;JUVENILE NONFICTION;JUVENILE NONFICTION;JUVENILE NONFICTION;JUVENILE NONFICTION;African Americans.;African American women basketball players.;African American political activists.;Basketball players.;Social reformers.
"Abou El Fadl, Khaled,",And God knows the soldiers :,the authoritative and authoritarian in Islamic discourses /,Revised edition of: The authoritative and authoritarian in Islamic discourses. 1997.,"The short legacy of a short book : justification and confession -- The problem of authority : an anecdotal experience -- The text and authority : a case study -- The case study : the fatw{macr}a -- The construction of the authoritarian -- Publication afterthoughts. Authority and the determination of meaning : one God, and one meaning ; Choosing a case study : pick on someone your own size ; Raising the bar : are we going to need a jurist to go to the toilet? ; The modern dynamics and the Islamic legal tradition ; Lecherous suspicions : do you dare question the {dotb}hij{macr}ab? ; Is morality a bad word? -- Appendix -- Glossary of terms.",Authority;Hadith;Islamic law.;Wahh{macr}ab{macr}iyah.;Islam;Authority;Hadith;Islam;Islamic law.;Wahh{macr}ab{macr}iyah.;Islam;Autorit{uml}at;Recht;Islamisches Recht;Islamitisch recht.;Gezag.;Hadith.;Authority;Hadith;Islamic law.;Wahh{macr}ab{macr}iyah.;Islam;Auktoritet;Hadith.;Islamisk r{uml}att.;Wahhabiter.
"Abrams, Mitch,",Anger management in sport :,understanding and controlling violence in athletes /,N/A,"A new understanding of anger and violence in sport -- The scope of violence and aggression in sport -- Assessing anger in sport -- Understanding the athlete culture -- Mental illness and violence in sport -- Drugs, violence, and sport -- Developing and using anger management programs for athletes -- Systemic interventions for athletes -- Prevention of sexual violence.","Athletes;Anger.;Anger.;Psychology, Sports.;Violence;Violence;Competitive Behavior.;Self Care;Anger.;Athletes;Wettbewerbsverhalten;Aggression;Katharsis;Sportler;Sport;{uml}Arger;Gewalt;Sport.;Atleten.;Agressief gedrag.;Beheersing.;Sportler.;Gewaltt{uml}atigkeit.;{uml}Arger.;Bew{uml}altigung.;Aggression.;Pr{uml}avention.;Psychologie.;Aggression.;Katharsis.;Sportler.;Sport.;{uml}Arger.;Gewalt."
"Abrams, Mitch,",Anger management in sport :,understanding and controlling violence in athletes /,N/A,"A new understanding of anger and violence in sport -- The scope of violence and aggression in sport -- Assessing anger in sport -- Understanding the athlete culture -- Mental illness and violence in sport -- Drugs, violence, and sport -- Developing and using anger management programs for athletes -- Systemic interventions for athletes -- Prevention of sexual violence.","Athletes;Anger.;Anger;Adaptation, Psychological;Competitive Behavior;Sports;Violence;Violence;HEALTH & FITNESS;MEDICAL;MEDICAL;MEDICAL;MEDICAL;Anger.;Athletes"
"Adams, Kline R.",An evaluation of the three-point shot and selected variables on the point differential in basketball /,N/A ,"""UO 94 406.""",N/A,Basketball.;Basketball;Basketball.
